종목코드,종목명,자기주식 제외 시가총액(A*B),종가,자기주식 제외 발행주식수(B=C-D),총발행주식수(C),자기주식수(D),자기주식수 반영시점
"046120","오르비텍","191075699160","6980","27374742","27703684","328942","2025-09"
"475830","오름테라퓨틱","2329190769600","109700","21232368","21232368","0","2025-09"
"014940","오리엔탈정공","383508173380","8420","45547289","45573661","26372","2025-09"
"002630","오리엔트바이오","72919397490","615","118568126","118583005","14879","2025-09"
"065500","오리엔트정공","88041187350","2775","31726554","31742912","16358","2025-09"
"271560","오리온","5514265926000","139500","39528788","39536132","7344","2025-09"
"001800","오리온홀딩스","1500908492350","24950","60156653","62645422","2488769","2025-09"
"010470","오리콤","71189742390","6110","11651349","11975050","323701","2025-09"
"417860","오브젠","46828152820","9970","4696906","4696906","0","2025-09"
"352910","오비고","62493930890","4945","12637802","12637802","0","2025-09"
"053980","오상자이엘","62989357360","3320","18972698","18982783","10085","2025-09"
"036220","오상헬스케어","149884450300","10900","13750867","14509416","758549","2025-09"
"052420","오성첨단소재","141984463920","1560","91015682","94425682","3410000","2025-09"
"052300","오션인더블유","38417362720","2365","16244128","16865143","621015","2025-09"
"039200","오스코텍","2077418956800","54300","38258176","38258176","0","2025-09"
"226400","오스테오닉","135011640450","6730","20061165","20661601","600436","2025-09"
"031510","오스템","25365990000","1011","25090000","28000000","2910000","2025-09"
"342870","오아","42457034630","7790","5450197","6248114","797917","2025-09"
"368970","오에스피","16314510345","1799","9068655","9346160","277505","2025-09"
"138080","오이솔루션","214308691040","18740","11435896","11983360","547464","2025-09"
"080580","오킨스전자","341176131110","16970","20104663","20581176","476513","2025-09"
"067170","오텍","43072692033","1897","22705689","23891605","1185916","2025-09"
"353590","오토앤","40879934750","3175","12875570","12875570","0","2025-09"
"173130","오파스넷","94431928160","7240","13043084","13046473","3389","2025-09"
"440320","오픈놀","36223550000","3685","9830000","9830000","0","2025-09"
"049480","오픈베이스","63639010400","2330","27312880","31422383","4109503","2025-09"
"394280","오픈엣지테크놀로지","440922270900","16780","26276655","26276655","0","2025-09"
"476060","온코닉테라퓨틱스","847931297600","18890","44887840","44887840","0","2025-09"
"382150","온코크로스","94109905890","7770","12111957","12111957","0","2025-09"
"005320","온타이드","31815317171","473","67262827","68375690","1112863","2025-09"
"244460","올리패스","13395948189","1651","8113839","8117505","3666","2025-09"
"226950","올릭스","2626703778300","130100","20189883","20189883","0","2025-09"
"057540","옴니시스템","52801504252","889","59394268","59449355","55087","2025-09"
"131030","옵투스제약","151263060530","9010","16788353","17646590","858237","2025-09"
"082210","옵트론텍","76434067250","2350","32525135","33192374","667239","2025-09"
"109080","옵티시스","43312266690","9170","4723257","5636000","912743","2025-09"
"380540","옵티코어","157357963575","3225","48793167","48793167","0","2025-09"
"153710","옵티팜","80684769000","5500","14669958","14669958","0","2025-09"
"432430","와이랩","58274369600","3530","16508320","16508320","0","2025-09"
"338840","와이바이오로직스","408290378900","26900","15178081","15178081","0","2025-09"
"122990","와이솔","165640401340","6460","25640929","26639081","998152","2025-09"
"232140","와이씨","1745435955000","21300","81945350","82045350","100000","2025-09"
"112290","와이씨켐","260346533750","25750","10110545","10110545","0","2025-09"
"065530","와이어블","64821518445","1355","47838759","47838759","0","2025-09"
"067900","와이엔텍","137738404990","7610","18099659","18199659","100000","2025-09"
"007530","와이엠","51746467500","2540","20372625","22254231","1881606","2025-09"
"155650","와이엠씨","67841632600","3830","17713220","19474358","1761138","2025-09"
"273640","와이엠텍","83712324000","8200","10208820","10966000","757180","2025-09"
"251370","와이엠티","235430553840","13630","17272968","17624010","351042","2025-09"
"209640","와이제이링크","132829491820","4670","28443146","28443146","0","2025-09"
"096250","와이즈넛","157289397360","12010","13096536","13096536","0","2025-09"
"273060","와이즈버즈","61661600650","1222","50459575","50459582","7","2025-09"
"019210","와이지-원","301157156430","8970","33573819","33573819","0","2025-09"
"122870","와이지엔터테인먼트","1359486157400","73300","18546878","18691049","144171","2025-09"
"011690","와이투솔루션","289316532180","7890","36668762","36674394","5632","2025-09"
"079000","와토스코리아","73803220960","11480","6428852","7200000","771148","2025-09"
"403490","우듬지팜","68161284940","1484","45930785","45932464","1679","2025-09"
"316140","우리금융지주","29948112900000","40800","734022375","734076320","53945","2025-09"
"032820","우리기술","2476563695100","14850","166771966","166773554","1588","2025-09"
"041190","우리기술투자","658789979760","8460","77871156","84000000","6128844","2025-09"
"115440","우리넷","74475230400","7200","10343782","10794292","450510","2025-09"
"046970","우리로","62407987766","1438","43399157","43824999","425842","2025-09"
"082850","우리바이오","88938700152","1884","47207378","48456578","1249200","2025-09"
"215360","우리산업","82189467000","9000","9132163","9132163","0","2025-09"
"072470","우리산업홀딩스","66093051500","3500","18883729","18887341","3612","2025-09"
"073560","우리손에프앤지","121858251680","1760","69237643","69237643","0","2025-09"
"037400","우리엔터프라이즈","23596063428","973","24250836","26223346","1972510","2025-09"
"153490","우리이앤엘","33853638800","668","50679100","51480000","800900","2025-09"
"101170","우림피티에스","205919333160","15580","13216902","13500000","283098","2025-09"
"006980","우성","54158551600","21100","2566756","3090000","523244","2025-09"
"066590","우수AMS","119128045960","3080","38677937","38677937","0","2025-09"
"017370","우신시스템","104588253280","6880","15201781","18314054","3112273","2025-09"
"103840","우양","50899591080","3110","16366428","16366428","0","2025-09"
"101970","우양에이치씨","181815082200","12300","14781714","14790009","8295","2025-09"
"046940","우원개발","81424946750","4505","18074350","18074350","0","2025-09"
"215380","우정바이오","38925701560","2335","16670536","16829576","159040","2025-09"
"065680","우주일렉트로","268886854950","33450","8038471","9240471","1202000","2025-09"
"105840","우진","537583737600","27300","19691712","20197670","505958","2025-09"
